par_num,packtype,selfsnapple,selfish,reward,include1,data_source
386,1,0,0,1,1,0
388,1,1,1,1,1,0
390,1,0,1,2,1,0
392,1,1,1,1,1,0
394,1,0,0,1,1,0
395,1,1,1,1,1,0
397,1,0,0,1,1,0
399,1,1,0,2,1,0
385,0,1,1,1,1,0
387,0,0,1,2,1,0
389,0,1,0,2,1,0
391,0,0,0,1,1,0
393,0,1,0,2,1,0
396,0,1,0,2,1,0
398,0,0,1,2,1,0
400,0,1,1,1,1,0
3950,0,0,0,1,1,0
131,1,1,,,0,0
191,1,0,,,0,0
194,1,0,,,0,0
330,1,1,,,0,0
100,1,1,1,1,1,0
101,1,1,0,2,1,0
103,1,0,0,1,1,0
106,1,0,1,2,1,0
108,1,1,1,1,1,0
110,1,0,1,2,1,0
112,1,1,1,1,1,0
114,1,0,1,2,1,0
116,1,1,1,1,1,0
119,1,0,0,1,1,0
120,1,1,1,1,1,0
122,1,0,1,2,1,0
124,1,1,1,1,1,0
126,1,0,0,1,1,0
128,1,1,0,2,1,0
130,1,0,0,1,1,0
134,1,0,0,1,1,0
136,1,1,0,2,1,0
138,1,0,1,2,1,0
140,1,1,1,1,1,0
142,1,0,0,1,1,0
144,1,1,0,2,1,0
146,1,0,0,1,1,0
148,1,1,0,2,1,0
150,1,0,0,1,1,0
152,1,1,1,1,1,0
154,1,0,0,1,1,0
156,1,1,1,1,1,0
159,1,0,0,1,1,0
160,1,1,0,2,1,0
162,1,0,0,1,1,0
164,1,1,1,1,1,0
166,1,0,1,2,1,0
168,1,1,1,1,1,0
170,1,0,0,1,1,0
171,1,1,0,2,1,0
173,1,0,1,2,0,0
175,1,1,1,1,1,0
178,1,1,0,2,1,0
181,1,1,0,2,1,0
183,1,0,1,2,1,0
185,1,1,1,1,1,0
187,1,0,1,2,1,0
189,1,1,0,2,1,0
193,1,1,0,2,1,0
1760,1,0,1,2,1,0
1800,1,0,1,2,1,0
196,1,1,1,1,1,0
197,1,1,0,2,1,0
199,1,0,0,1,1,0
201,1,1,0,2,1,0
203,1,0,0,1,1,0
205,1,1,1,1,1,0
207,1,0,1,2,1,0
209,1,1,1,1,1,0
211,1,0,1,2,1,0
213,1,1,1,1,1,0
215,1,0,1,2,1,0
217,1,1,1,1,1,0
219,1,0,0,1,1,0
221,1,1,1,1,1,0
223,1,0,0,1,1,0
225,1,1,1,1,1,0
227,1,0,0,1,1,0
229,1,1,0,2,1,0
230,1,0,1,2,1,0
232,1,1,1,1,1,0
234,1,0,0,1,1,0
236,1,1,1,1,1,0
238,1,0,1,2,1,0
241,1,1,0,2,1,0
243,1,0,0,1,1,0
245,1,1,0,2,1,0
247,1,0,0,1,1,0
249,1,1,0,2,1,0
251,1,0,0,1,1,0
253,1,0,0,1,1,0
255,1,1,1,1,1,0
257,1,0,1,2,1,0
259,1,1,1,1,1,0
261,1,0,1,2,1,0
263,1,1,0,2,1,0
265,1,0,1,2,1,0
267,1,1,1,1,1,0
269,1,0,1,2,1,0
271,1,1,1,1,1,0
273,1,0,1,2,1,0
275,1,1,1,1,1,0
277,1,0,0,1,1,0
279,1,1,1,1,1,0
281,1,0,0,1,1,0
283,1,1,1,1,1,0
285,1,0,0,1,1,0
287,1,1,0,2,1,0
289,1,0,0,1,1,0
293,1,0,1,2,1,0
295,1,1,1,1,1,0
296,1,0,0,1,1,0
298,1,1,1,1,1,0
300,1,0,0,1,1,0
302,1,1,1,1,1,0
304,1,0,0,1,1,0
306,1,1,1,1,1,0
308,1,0,0,1,1,0
310,1,1,0,2,1,0
312,1,0,0,1,1,0
314,1,1,0,2,1,0
316,1,0,1,2,1,0
318,1,1,0,2,1,0
320,1,0,0,1,1,0
322,1,1,0,2,1,0
324,1,0,0,1,1,0
326,1,1,0,2,1,0
328,1,0,1,2,1,0
332,1,0,1,2,1,0
334,1,1,0,2,1,0
336,1,0,1,2,1,0
338,1,1,0,2,1,0
340,1,0,0,1,1,0
342,1,1,1,1,1,0
344,1,0,1,2,1,0
346,1,1,1,1,1,0
348,1,0,0,1,1,0
350,1,1,1,1,1,0
352,1,0,0,1,1,0
354,1,1,1,1,1,0
356,1,1,1,1,1,0
358,1,0,1,2,1,0
360,1,1,1,1,1,0
362,1,0,0,1,1,0
364,1,1,1,1,1,0
366,1,0,0,1,1,0
368,1,1,1,1,1,0
370,1,0,0,1,1,0
372,1,1,0,2,1,0
374,1,0,0,1,1,0
376,1,1,1,1,1,0
378,1,0,1,2,1,0
380,1,1,1,1,1,0
382,1,0,1,2,1,0
384,1,1,0,2,1,0
105,0,1,0,2,0,0
129,0,1,1,1,0,0
195,0,1,,,0,0
264,0,1,,,0,0
102,0,1,0,2,1,0
104,0,0,0,1,1,0
107,0,0,1,2,1,0
109,0,1,1,1,1,0
111,0,0,1,2,1,0
113,0,1,0,2,1,0
115,0,0,1,2,1,0
117,0,1,0,2,1,0
118,0,0,0,1,1,0
121,0,1,0,2,1,0
123,0,0,1,2,1,0
125,0,1,0,2,1,0
127,0,0,0,1,1,0
132,0,0,0,1,1,0
133,0,1,0,2,1,0
135,0,0,0,1,1,0
137,0,1,0,2,1,0
139,0,0,1,2,1,0
141,0,1,1,1,1,0
143,0,0,1,2,0,0
145,0,1,1,1,1,0
147,0,0,0,1,1,0
149,0,1,1,1,1,0
151,0,0,0,1,1,0
153,0,1,0,2,1,0
155,0,0,0,1,1,0
157,0,1,1,1,1,0
158,0,0,0,1,0,0
161,0,1,0,2,1,0
163,0,0,0,1,1,0
165,0,1,1,1,0,0
167,0,0,0,1,1,0
169,0,1,0,2,1,0
172,0,1,1,1,1,0
174,0,0,0,1,1,0
176,0,1,0,2,1,0
177,0,0,1,2,1,0
179,0,1,0,2,1,0
180,0,0,0,1,1,0
182,0,1,1,1,1,0
184,0,0,1,2,1,0
186,0,1,1,1,1,0
188,0,0,0,1,1,0
190,0,1,1,1,1,0
192,0,0,0,1,1,0
1710,0,0,0,1,1,0
1920,0,1,0,2,1,0
2950,0,1,1,1,1,0
198,0,1,0,2,1,0
200,0,0,1,2,1,0
202,0,1,0,2,1,0
204,0,0,0,1,1,0
206,0,1,0,2,1,0
208,0,0,0,1,1,0
210,0,1,0,2,1,0
212,0,0,0,1,1,0
214,0,1,1,1,1,0
216,0,0,1,2,1,0
218,0,1,1,1,1,0
220,0,0,1,2,1,0
222,0,1,1,1,1,0
224,0,0,0,1,1,0
226,0,1,0,2,1,0
228,0,0,1,2,1,0
231,0,0,0,1,1,0
233,0,1,1,1,1,0
235,0,0,0,1,1,0
237,0,1,0,2,1,0
239,0,0,0,1,1,0
240,0,1,0,2,1,0
242,0,1,1,1,1,0
244,0,0,0,1,1,0
246,0,1,0,2,1,0
248,0,0,0,1,1,0
250,0,1,0,2,1,0
252,0,1,0,2,1,0
254,0,0,0,1,1,0
256,0,1,1,1,1,0
258,0,0,1,2,1,0
260,0,1,0,2,1,0
262,0,0,0,1,1,0
266,0,0,0,1,1,0
268,0,1,0,2,1,0
270,0,0,0,1,1,0
272,0,1,0,2,1,0
274,0,0,0,1,1,0
276,0,1,1,1,1,0
278,0,0,1,2,1,0
280,0,1,0,2,1,0
282,0,0,0,1,1,0
284,0,1,1,1,1,0
286,0,0,0,1,1,0
288,0,1,0,2,1,0
290,0,0,1,2,1,0
292,0,1,1,1,1,0
294,0,0,0,1,1,0
297,0,0,1,2,1,0
299,0,1,0,2,1,0
301,0,0,1,2,1,0
303,0,1,0,2,1,0
305,0,0,0,1,1,0
307,0,1,1,1,1,0
309,0,0,0,1,1,0
311,0,1,1,1,1,0
313,0,0,0,1,1,0
315,0,1,0,2,1,0
317,0,0,0,1,1,0
319,0,1,0,2,1,0
321,0,0,0,1,1,0
323,0,1,1,1,1,0
325,0,0,1,2,1,0
327,0,1,1,1,1,0
329,0,0,1,2,1,0
331,0,1,0,2,1,0
333,0,0,1,2,1,0
335,0,1,0,2,1,0
337,0,0,0,1,1,0
339,0,1,0,2,1,0
341,0,0,1,2,1,0
343,0,1,1,1,1,0
345,0,0,1,2,1,0
347,0,1,0,2,1,0
349,0,0,0,1,1,0
351,0,1,0,2,1,0
353,0,0,1,2,1,0
355,0,0,0,1,1,0
357,0,1,0,2,1,0
359,0,0,1,2,1,0
361,0,1,1,1,1,0
363,0,0,1,2,1,0
365,0,1,1,1,1,0
367,0,0,1,2,1,0
369,0,1,1,1,1,0
371,0,0,0,1,1,0
373,0,1,0,2,1,0
375,0,0,0,1,1,0
377,0,1,1,1,1,0
379,0,0,0,1,1,0
381,0,1,1,1,1,0
383,0,0,0,1,1,0
212,1,1,1,1,0,1
714,0,0,0,1,0,1
913,1,0,0,1,0,1
922,0,1,1,1,0,1
1212,1,1,1,1,0,1
1422,0,1,0,2,0,1
1613,1,0,1,2,0,1
3813,1,0,1,2,0,1
4612,1,1,1,1,0,1
4822,0,1,1,1,0,1
5713,1,0,1,2,0,1
5714,0,0,0,1,0,1
6213,1,0,0,1,0,1
112,1,1,0,2,1,1
313,1,0,1,2,1,1
1014,0,0,0,1,1,1
1314,0,0,1,2,1,1
1522,0,1,0,2,1,1
1812,1,1,1,1,1,1
2014,0,0,0,1,1,1
2413,1,0,0,1,1,1
2813,1,0,1,2,1,1
3222,0,1,1,1,1,1
3812,1,1,0,2,1,1
4514,0,0,1,2,1,1
4713,1,0,1,2,1,1
4914,0,0,0,1,1,1
5414,0,0,0,1,1,1
5722,0,1,1,1,1,1
6214,0,0,1,2,1,1
6312,1,1,0,2,1,1
113,1,0,1,2,1,1
114,0,0,1,2,1,1
122,0,1,0,2,1,1
213,1,0,0,1,1,1
214,0,0,1,2,1,1
222,0,1,0,2,1,1
312,1,1,0,2,1,1
322,0,1,1,1,1,1
412,1,1,0,2,1,1
413,1,0,1,2,1,1
414,0,0,1,2,1,1
422,0,1,0,2,1,1
512,1,1,1,1,1,1
513,1,0,1,2,1,1
514,0,0,1,2,1,1
522,0,1,0,2,1,1
612,1,1,0,2,1,1
613,1,0,1,2,1,1
614,0,0,0,1,1,1
622,0,1,1,1,1,1
712,1,1,0,2,1,1
713,1,0,0,1,1,1
812,1,1,0,2,1,1
813,1,0,1,2,1,1
814,0,0,1,2,1,1
822,0,1,1,1,1,1
912,1,1,0,2,1,1
914,0,0,1,2,1,1
1012,1,1,0,2,1,1
1013,1,0,0,1,1,1
1022,0,1,1,1,1,1
1112,1,1,1,1,1,1
1113,1,0,1,2,1,1
1114,0,0,1,2,1,1
1122,0,1,0,2,1,1
1213,1,0,1,2,1,1
1214,0,0,1,2,1,1
1222,0,1,1,1,1,1
1312,1,1,1,1,1,1
1313,1,0,0,1,1,1
1322,0,1,0,2,1,1
1412,1,1,0,2,1,1
1413,1,0,1,2,1,1
1414,0,0,0,1,1,1
1512,1,1,0,2,1,1
1513,1,0,0,1,1,1
1514,0,0,1,2,1,1
1612,1,1,1,1,1,1
1614,0,0,1,2,1,1
1622,0,1,0,2,1,1
1712,1,1,1,1,1,1
1713,1,0,1,2,1,1
1714,0,0,1,2,1,1
1722,0,1,0,2,1,1
1813,1,0,1,2,1,1
1814,0,0,1,2,1,1
1822,0,1,0,2,1,1
1912,1,1,1,1,1,1
1913,1,0,1,2,1,1
1914,0,0,1,2,1,1
1922,0,1,0,2,1,1
2012,1,1,0,2,1,1
2013,1,0,1,2,1,1
2022,0,1,0,2,1,1
2112,1,1,0,2,1,1
2113,1,0,1,2,1,1
2122,0,1,0,2,1,1
2144,0,0,0,1,1,1
2212,1,1,0,2,1,1
2213,1,0,1,2,1,1
2214,0,0,0,1,1,1
2222,0,1,1,1,1,1
2312,1,1,0,2,1,1
2313,1,0,0,1,1,1
2314,0,0,0,1,1,1
2322,0,1,0,2,1,1
2412,1,1,1,1,1,1
2414,0,0,1,2,1,1
2422,0,1,0,2,1,1
2512,1,1,1,1,1,1
2513,1,0,1,2,1,1
2514,0,0,1,2,1,1
2522,0,1,1,1,1,1
2612,1,1,0,2,1,1
2613,1,0,0,1,1,1
2614,0,0,1,2,1,1
2622,0,1,1,1,1,1
2712,1,1,1,1,1,1
2713,1,0,0,1,1,1
2714,0,0,0,1,1,1
2722,0,1,0,2,1,1
2812,1,1,1,1,1,1
2814,0,0,0,1,1,1
2822,0,1,1,1,1,1
2912,1,1,1,1,1,1
2913,1,0,0,1,1,1
2914,0,0,1,2,1,1
2922,0,1,0,2,1,1
3012,1,1,0,2,1,1
3013,1,0,1,2,1,1
3014,0,0,0,1,1,1
3022,0,1,1,1,1,1
3112,1,1,1,1,1,1
3113,1,0,0,1,1,1
3114,0,0,1,2,1,1
3122,0,1,0,2,1,1
3212,1,1,1,1,1,1
3213,1,0,1,2,1,1
3214,0,0,1,2,1,1
3312,1,1,0,2,1,1
3313,1,0,1,2,1,1
3314,0,0,1,2,1,1
3322,0,1,1,1,1,1
3412,1,1,0,2,1,1
3413,1,0,0,1,1,1
3414,0,0,1,2,1,1
3422,0,1,0,2,1,1
3512,1,1,1,1,1,1
3513,1,0,1,2,1,1
3514,0,0,0,1,1,1
3522,0,1,1,1,1,1
3612,1,1,1,1,1,1
3613,1,0,1,2,1,1
3614,0,0,1,2,1,1
3622,0,1,1,1,1,1
3712,1,1,1,1,1,1
3713,1,0,1,2,1,1
3714,0,0,1,2,1,1
3722,0,1,0,2,1,1
3814,0,0,1,2,1,1
3822,0,1,0,2,1,1
3912,1,1,1,1,1,1
3913,1,0,1,2,1,1
3914,0,0,1,2,1,1
3922,0,1,1,1,1,1
4012,1,1,0,2,1,1
4013,1,0,1,2,1,1
4014,0,0,1,2,1,1
4022,0,1,0,2,1,1
4112,1,1,0,2,1,1
4113,1,0,0,1,1,1
4114,0,0,0,1,1,1
4122,0,1,1,1,1,1
4212,1,1,0,2,1,1
4213,1,0,1,2,1,1
4214,0,0,0,1,1,1
4222,0,1,0,2,1,1
4312,1,1,0,2,1,1
4313,1,0,1,2,1,1
4314,0,0,1,2,1,1
4322,0,1,0,2,1,1
4412,1,1,0,2,1,1
4413,1,0,0,1,1,1
4414,0,0,1,2,1,1
4422,0,1,0,2,1,1
4512,1,1,0,2,1,1
4513,1,0,1,2,1,1
4522,0,1,0,2,1,1
4613,1,0,1,2,1,1
4614,0,0,1,2,1,1
4622,0,1,1,1,1,1
4712,1,1,1,1,1,1
4714,0,0,0,1,1,1
4722,0,1,0,2,1,1
4812,1,1,0,2,1,1
4813,1,0,1,2,1,1
4814,0,0,1,2,1,1
4912,1,1,0,2,1,1
4913,1,0,0,1,1,1
4922,0,1,0,2,1,1
5012,1,1,0,2,1,1
5013,1,0,0,1,1,1
5014,0,0,1,2,1,1
5022,0,1,0,2,1,1
5113,1,0,1,2,1,1
5114,0,0,1,2,1,1
5122,0,1,0,2,1,1
5212,1,1,1,1,1,1
5213,1,0,0,1,1,1
5214,0,0,0,1,1,1
5222,0,1,1,1,1,1
5312,1,1,1,1,1,1
5313,1,0,1,2,1,1
5314,0,0,1,2,1,1
5322,0,1,0,2,1,1
5412,1,1,0,2,1,1
5413,1,0,1,2,1,1
5422,0,1,0,2,1,1
5512,1,1,1,1,1,1
5513,1,0,1,2,1,1
5514,0,0,0,1,1,1
5522,0,1,1,1,1,1
5612,1,1,1,1,1,1
5613,1,0,1,2,1,1
5614,0,0,1,2,1,1
5622,0,1,0,2,1,1
5712,1,1,1,1,1,1
5812,1,1,0,2,1,1
5813,1,0,0,1,1,1
5814,0,0,0,1,1,1
5822,0,1,0,2,1,1
5912,1,1,1,1,1,1
5913,1,0,1,2,1,1
5914,0,0,0,1,1,1
5922,0,1,1,1,1,1
6012,1,1,0,2,1,1
6013,1,0,0,1,1,1
6014,0,0,0,1,1,1
6022,0,1,1,1,1,1
6112,1,1,1,1,1,1
6113,1,0,0,1,1,1
6114,0,0,0,1,1,1
6122,0,1,1,1,1,1
6212,1,1,0,2,1,1
6313,1,0,0,1,1,1
6314,0,0,1,2,1,1
6413,1,0,0,1,1,1
6422,0,1,0,2,1,1
6514,0,0,1,2,1,1
1078,0,,1,,0,2
1094,0,,,,0,2
1110,0,,1,,0,2
1120,0,,,,0,2
1206,0,,1,,0,2
1230,0,,1,,0,2
1253,0,,,,0,2
1906,0,,0,,0,2
1001,0,,1,,1,2
1003,0,,1,,1,2
1005,0,,1,,1,2
1007,0,,1,,1,2
1009,0,,1,,1,2
1011,0,,0,,1,2
1013,0,,1,,1,2
1015,0,,1,,1,2
1017,0,,1,,1,2
1019,0,,0,,0,2
1021,0,,0,,1,2
1023,0,,1,,1,2
1025,0,,1,,1,2
1027,0,,1,,1,2
1029,0,,0,,1,2
1032,0,,1,,1,2
1034,0,,0,,1,2
1036,0,,0,,1,2
1038,0,,1,,1,2
1039,0,,1,,1,2
1041,0,,0,,1,2
1043,0,,0,,1,2
1045,0,,0,,1,2
1047,0,,0,,1,2
1049,0,,1,,1,2
1051,0,,1,,1,2
1053,0,,1,,1,2
1055,0,,1,,1,2
1057,0,,1,,1,2
1060,0,,1,,1,2
1062,0,,1,,1,2
1063,0,,1,,0,2
1065,0,,1,,1,2
1067,0,,1,,1,2
1069,0,,1,,1,2
1071,0,,1,,1,2
1073,0,,1,,1,2
1074,0,,0,,1,2
1076,0,,1,,1,2
1080,0,,0,,1,2
1082,0,,0,,1,2
1084,0,,1,,1,2
1086,0,,1,,1,2
1089,0,,1,,1,2
1090,0,,1,,1,2
1092,0,,0,,1,2
1096,0,,1,,1,2
1098,0,,1,,1,2
1100,0,,0,,1,2
1102,0,,1,,1,2
1104,0,,0,,1,2
1106,0,,1,,1,2
1108,0,,1,,1,2
1112,0,,0,,1,2
1114,0,,1,,1,2
1116,0,,0,,1,2
1118,0,,0,,1,2
1122,0,,1,,1,2
1124,0,,0,,1,2
1127,0,,1,,1,2
1129,0,,1,,1,2
1131,0,,1,,1,2
1134,0,,0,,1,2
1135,0,,0,,1,2
1138,0,,0,,1,2
1140,0,,1,,1,2
1142,0,,1,,1,2
1144,0,,0,,1,2
1146,0,,0,,1,2
1200,0,,0,,1,2
1203,0,,1,,1,2
1208,0,,1,,1,2
1210,0,,1,,1,2
1212,0,,1,,1,2
1214,0,,0,,1,2
1215,0,,0,,1,2
1217,0,,1,,1,2
1219,0,,0,,1,2
1221,0,,1,,1,2
1223,0,,1,,1,2
1225,0,,0,,1,2
1227,0,,1,,1,2
1234,0,,0,,1,2
1236,0,,1,,1,2
1238,0,,1,,1,2
1240,0,,1,,1,2
1242,0,,1,,0,2
1243,0,,1,,1,2
1245,0,,0,,1,2
1247,0,,1,,1,2
1249,0,,1,,1,2
1251,0,,1,,1,2
1255,0,,1,,1,2
1259,0,,1,,1,2
1276,0,,1,,1,2
1504,0,,0,,1,2
1506,0,,0,,1,2
1508,0,,1,,1,2
1510,0,,1,,1,2
1512,0,,0,,1,2
1517,0,,0,,1,2
1518,0,,1,,1,2
1520,0,,1,,1,2
1522,0,,1,,1,2
1523,0,,0,,1,2
1525,0,,1,,1,2
1537,0,,0,,1,2
1539,0,,0,,1,2
1541,0,,1,,1,2
1543,0,,0,,1,2
1545,0,,0,,1,2
1547,0,,1,,1,2
1549,0,,0,,1,2
1551,0,,0,,1,2
1553,0,,0,,1,2
1555,0,,1,,1,2
1557,0,,1,,1,2
1573,0,,0,,1,2
1575,0,,1,,1,2
1578,0,,1,,1,2
1579,0,,1,,1,2
1581,0,,0,,1,2
1581,0,,1,,1,2
1583,0,,1,,1,2
1585,0,,1,,1,2
1587,0,,1,,1,2
1589,0,,0,,1,2
1591,0,,1,,1,2
1593,0,,1,,1,2
1595,0,,0,,1,2
1597,0,,1,,1,2
1599,0,,1,,1,2
1601,0,,0,,1,2
1603,0,,0,,1,2
1605,0,,0,,1,2
1900,0,,1,,1,2
1902,0,,0,,1,2
1904,0,,1,,1,2
1908,0,,0,,1,2
1911,0,,1,,1,2
1912,0,,0,,1,2
1914,0,,0,,1,2
1026,1,,1,,0,2
1095,1,,,,0,2
1209,1,,,,0,2
1229,1,,1,,0,2
1252,1,,1,,0,2
1505,1,,1,,0,2
1511,1,,1,,0,2
1514,1,,0,,0,2
1516,1,,0,,0,2
1907,1,,0,,0,2
1002,1,,1,,1,2
1004,1,,1,,1,2
1006,1,,0,,1,2
1008,1,,1,,1,2
1010,1,,0,,1,2
1012,1,,0,,1,2
1014,1,,1,,0,2
1016,1,,0,,1,2
1018,1,,1,,1,2
1020,1,,1,,1,2
1022,1,,1,,1,2
1024,1,,1,,1,2
1028,1,,1,,1,2
1030,1,,0,,1,2
1031,1,,0,,1,2
1033,1,,1,,1,2
1035,1,,0,,1,2
1037,1,,1,,1,2
1040,1,,1,,1,2
1042,1,,1,,1,2
1044,1,,0,,1,2
1046,1,,1,,1,2
1048,1,,1,,1,2
1050,1,,1,,1,2
1052,1,,0,,1,2
1054,1,,1,,1,2
1056,1,,1,,1,2
1058,1,,0,,1,2
1059,1,,0,,1,2
1061,1,,1,,1,2
1064,1,,0,,1,2
1066,1,,1,,1,2
1068,1,,1,,1,2
1070,1,,1,,1,2
1072,1,,1,,1,2
1075,1,,1,,1,2
1077,1,,1,,1,2
1079,1,,1,,1,2
1081,1,,1,,1,2
1083,1,,1,,1,2
1085,1,,1,,1,2
1087,1,,1,,1,2
1088,1,,0,,1,2
1091,1,,1,,1,2
1093,1,,1,,1,2
1097,1,,1,,1,2
1099,1,,1,,1,2
1101,1,,1,,1,2
1103,1,,0,,1,2
1105,1,,0,,1,2
1107,1,,1,,1,2
1109,1,,1,,1,2
1111,1,,1,,1,2
1113,1,,1,,1,2
1114,1,,1,,1,2
1117,1,,1,,1,2
1119,1,,1,,1,2
1121,1,,1,,1,2
1123,1,,0,,1,2
1125,1,,1,,1,2
1126,1,,1,,1,2
1128,1,,1,,1,2
1130,1,,1,,1,2
1132,1,,0,,1,2
1133,1,,0,,1,2
1136,1,,1,,1,2
1137,1,,0,,1,2
1139,1,,0,,1,2
1141,1,,1,,1,2
1143,1,,1,,1,2
1145,1,,1,,1,2
1201,1,,1,,1,2
1202,1,,0,,0,2
1205,1,,0,,1,2
1207,1,,1,,1,2
1209,1,,1,,1,2
1211,1,,1,,1,2
1213,1,,1,,1,2
1216,1,,1,,1,2
1218,1,,1,,1,2
1220,1,,1,,1,2
1222,1,,0,,1,2
1224,1,,1,,1,2
1226,1,,0,,1,2
1228,1,,0,,1,2
1231,1,,0,,1,2
1235,1,,1,,1,2
1237,1,,0,,1,2
1239,1,,1,,1,2
1241,1,,1,,1,2
1244,1,,1,,1,2
1246,1,,1,,1,2
1248,1,,1,,1,2
1250,1,,1,,1,2
1254,1,,1,,1,2
1256,1,,1,,1,2
1266,1,,1,,1,2
1503,1,,0,,1,2
1507,1,,1,,1,2
1509,1,,0,,1,2
1513,1,,0,,1,2
1515,1,,1,,1,2
1519,1,,0,,1,2
1521,1,,1,,1,2
1524,1,,0,,1,2
1536,1,,0,,1,2
1538,1,,1,,1,2
1540,1,,0,,1,2
1542,1,,1,,1,2
1544,1,,0,,1,2
1546,1,,1,,1,2
1548,1,,0,,1,2
1550,1,,0,,1,2
1552,1,,1,,1,2
1554,1,,0,,1,2
1556,1,,0,,1,2
1558,1,,1,,1,2
1559,1,,1,,1,2
1560,1,,1,,1,2
1572,1,,0,,1,2
1574,1,,1,,1,2
1576,1,,1,,1,2
1577,1,,1,,1,2
1580,1,,0,,1,2
1580,1,,0,,1,2
1582,1,,1,,1,2
1582,1,,0,,1,2
1584,1,,1,,1,2
1586,1,,1,,1,2
1588,1,,1,,1,2
1590,1,,1,,1,2
1592,1,,0,,1,2
1594,1,,1,,1,2
1596,1,,1,,1,2
1598,1,,1,,1,2
1600,1,,0,,1,2
1602,1,,1,,1,2
1604,1,,1,,1,2
1901,1,,0,,1,2
1903,1,,0,,1,2
1905,1,,0,,1,2
1909,1,,1,,1,2
1910,1,,1,,1,2
1913,1,,1,,1,2
1915,1,,1,,1,2